time,seconds_elapsed,z,y,x,gyro_x,gyro_y,gyro_z
2023-11-30 19:48:59.871888600,47.934888671875,0.2849949300289154,0.6162052154541016,0.7063922882080078,-0.0891098976135253,0.0264962594956159,-0.1272889524698257
2023-11-30 19:48:59.890490600,47.95349072265625,0.6883083581924438,1.5426368713378906,-0.211658239364624,-0.0228310711681842,0.0081703159958124,-0.106824979186058
2023-11-30 19:48:59.909092600,47.97209252929687,0.6735640168190002,2.4842777252197266,-0.9905667304992676,0.0562759190797805,-0.0269544087350368,-0.0872773081064224
2023-11-30 19:48:59.927694600,47.99069458007813,0.367413580417633,3.019134998321533,-1.4866971969604492,0.1674533039331436,-0.1647044122219085,-0.0469602309167385
2023-11-30 19:48:59.946296600,48.009296630859374,0.0679893195629119,3.0018625259399414,-1.6353847980499268,0.3039815723896026,-0.3006218373775482,0.015347977168858
2023-11-30 19:48:59.964898600,48.02789868164062,-0.226200133562088,2.5370078086853027,-1.3364906311035156,0.3647626340389251,-0.2557232677936554,0.0269544087350368
2023-11-30 19:48:59.983500500,48.04650048828125,-0.8452083468437195,1.6666455268859863,-0.37286376953125,0.321391224861145,-0.134466603398323,0.0061850058846175
2023-11-30 19:49:00.002102500,48.0651025390625,-1.428086519241333,0.7122287750244141,0.2883760929107666,0.2468657344579696,-0.0804050788283348,-0.0032833982259035
2023-11-30 19:49:00.020704300,48.083704345703126,-1.639624834060669,-0.0181884765625,0.7670114040374756,0.1815031915903091,-0.0788779109716415,0.0199294630438089
2023-11-30 19:49:00.039306200,48.10230615234375,-1.5415252447128296,-0.5356101989746094,0.957594633102417,0.0877354517579078,-0.0819322392344474,0.0681877806782722
2023-11-30 19:49:00.057908200,48.120908203125,-1.530550837516785,-0.7563905715942383,0.994765043258667,-0.0518471486866474,-0.1161406636238098,0.1326340138912201
2023-11-30 19:49:00.076510200,48.13951025390625,-1.5050681829452517,-0.6827993392944336,0.8479762077331543,-0.1975383907556533,-0.1341611742973327,0.1613446623086929
